new_label,gtsrb_class_id,class_name,precision_split42_train100,recall_split42_train100,f1_split42_train100,precision_split100_train100,recall_split100_train100,f1_split100_train100,precision_split2026_train100,recall_split2026_train100,f1_split2026_train100,precision_mean,recall_mean,f1_mean,f1_min,f1_max,f1_range,stability_status
2,17,진입 금지,0.910526,0.961111,0.935135,0.983240,0.977778,0.980501,0.972973,1.000000,0.986301,0.955580,0.979630,0.967313,0.935135,0.986301,0.051166,안정적 후보
5,28,어린이 횡단 주의,0.988889,0.988889,0.988889,0.977273,0.955556,0.966292,0.965116,0.922222,0.943182,0.977093,0.955556,0.966121,0.943182,0.988889,0.045707,안정적 후보
0,13,양보,0.961415,0.906061,0.932917,0.993976,1.000000,0.996979,0.947059,0.975758,0.961194,0.967483,0.960606,0.963697,0.932917,0.996979,0.064062,안정적 후보
8,35,직진 지시,0.972527,0.983333,0.977901,0.994350,0.977778,0.985994,0.992857,0.772222,0.868750,0.986578,0.911111,0.944215,0.868750,0.985994,0.117244,안정적 후보
3,18,일반 위험 도로,0.926702,0.983333,0.954178,0.855769,0.988889,0.917526,0.982558,0.938889,0.960227,0.921676,0.970370,0.943977,0.917526,0.960227,0.042701,안정적 후보
1,14,정지,0.820144,0.950000,0.880309,0.974790,0.966667,0.970711,0.950000,0.950000,0.950000,0.914978,0.955556,0.933673,0.880309,0.970711,0.090402,안정적 후보
9,40,회전교차로,0.980392,0.833333,0.900901,0.937500,1.000000,0.967742,0.730769,0.950000,0.826087,0.882887,0.927778,0.898243,0.826087,0.967742,0.141655,안정적 후보
4,25,도로 공사 중,0.957447,0.937500,0.947368,0.989583,0.791667,0.879630,0.922705,0.795833,0.854586,0.956578,0.841667,0.893861,0.854586,0.947368,0.092782,안정적 후보
6,33,우회전 지시,0.927083,0.988889,0.956989,0.825688,1.000000,0.904523,0.635714,0.988889,0.773913,0.796162,0.992593,0.878475,0.773913,0.956989,0.183076,관찰 필요
7,34,좌회전 지시,0.844444,0.633333,0.723810,0.967742,1.000000,0.983607,0.887097,0.916667,0.901639,0.899761,0.850000,0.869685,0.723810,0.983607,0.259797,교체 검토
